20085^63456^Hessen^Main-Kinzig-Kreis^Hanau^^^^Hanau^Am Markt 14-18^ 88 834^8,915188^50,135573^2622^63450^Hanau(63450)^www.hanau.de
20086^63457^Hessen^Main-Kinzig-Kreis^Hanau^^^^Hanau^Am Markt 14-18^ 88 834^8,915188^50,135573^2622^63450^Hanau(63450)^www.hanau.de
20087^71034^Baden-Württemberg^Böblingen^Böblingen^^^^Böblingen^Marktplatz 16^ 45 805^9,009662^48,685295^2856^71032^Böblingen(71032)^www.boeblingen.de
20088^71065^Baden-Württemberg^Böblingen^Sindelfingen^^^^Sindelfingen^Rathausplatz 1^ 60 795^9,00221^48,709831^2856^71063^Sindelfingen(71063)^www.sindelfingen.de
20089^71067^Baden-Württemberg^Böblingen^Sindelfingen^^^^Sindelfingen^Rathausplatz 1^ 60 795^9,00221^48,709831^2856^71063^Sindelfingen(71063)^www.sindelfingen.de
20090^71069^Baden-Württemberg^Böblingen^Sindelfingen^^^^Sindelfingen^Rathausplatz 1^ 60 795^9,00221^48,709831^2856^71063^Sindelfingen(71063)^www.sindelfingen.de
20091^72459^Baden-Württemberg^Zollernalbkreis^Albstadt^^^^Albstadt^Marktstraße 35^ 43 980^9,032051^48,230763^2853^72458^Albstadt(72458)^www.albstadt.de
20092^72461^Baden-Württemberg^Zollernalbkreis^Albstadt^^^^Albstadt^Marktstraße 35^ 43 980^9,032051^48,230763^2853^72458^Albstadt(72458)^www.albstadt.de
20093^78144^Baden-Württemberg^Rottweil^Schramberg^^^^Schramberg^Hauptstraße 25^ 20 701^8,386187^48,225466^2815^78713^Schramberg(78713)^www.schramberg.de
20094^78315^Baden-Württemberg^Konstanz^Radolfzell^^^^Radolfzell am Bodensee^Marktplatz 2^ 30 109^8,968663^47,739107^2818^78315^Radolfzell am Bodensee(78315)^www.radolfzell.de
20095^79695^Baden-Württemberg^Lörrach^Wieden^^^^Wieden^Kirchstraße 2^^^^^79695^Wieden(79695)^www.gemeinde-wieden.de
20096^82067^Bayern^München^Schäftlarn^^^^Schäftlarn^Starnberger Str. 50^ 5 470^11,451751^47,987943^9147^82069^Schäftlarn(82069)^www.schaeftlarn.de
20097^82349^Bayern^Starnberg^Krailling^^^^Krailling^Rudolf-von-Hirsch-Str. 1^ 7 505^11,409621^48,097163^9161^82152^Krailling(82152)^www.krailling.de
20098^82432^Bayern^Garmisch-Partenkirchen^Wallgau^^^^Wallgau^Mittenwalder Str. 8^ 1 404^11,282154^47,52203^9119^82499^Wallgau(82499)^www.wallgau.de
20099^82432^Bayern^Bad Tölz-Wolfratshausen^Kochel^^^^Kochel am See^Kalmbachstr. 11^ 3 954^11,368268^47,658845^9104^82431^Kochel am See(82431)^
20100^82493^Bayern^Garmisch-Partenkirchen^Krün^^^^Krün^Schöttlkarspitzstr. 15^ 1 905^11,278358^47,505064^9119^82494^Krün(82494)^www.kruen.de
20101^83368^Bayern^Traunstein^Traunreut^^^^Traunreut^Rathausplatz 3^ 20 172^12,593349^47,961572^9163^83301^Traunreut(83301)^www.traunreut.de
20102^83371^Bayern^Traunstein^Traunreut^^^^Traunreut^Rathausplatz 3^ 20 172^12,593349^47,961572^9163^83301^Traunreut(83301)^www.traunreut.de
20103^83374^Bayern^Traunstein^Traunreut^^^^Traunreut^Rathausplatz 3^ 20 172^12,593349^47,961572^9163^83301^Traunreut(83301)^www.traunreut.de
20104^83376^Bayern^Traunstein^Seeon-Seebruck^^^^Seeon-Seebruck^Römerstr. 10^ 4 468^12,466029^47,971927^9163^83358^Seeon-Seebruck(83358)^www.seeon-seebruck.de
20105^83379^Bayern^Traunstein^Wonneberg^^^^Waging am See^Salzburger Str. 1^ 1 902^12,724982^47,96139^9163^83329^Waging am See(83329)^www.taching.de
20106^83546^Bayern^Mühldorf a.Inn^Gars^^^^Gars am Inn^Hauptstr. 5^ 3 741^12,275117^48,155168^9141^83536^Gars am Inn(83536)^
20107^83546^Bayern^Mühldorf a.Inn^Gars^^^^Gars am Inn^Hauptstr. 5^ 3 741^12,275117^48,155168^9141^83536^Gars am Inn(83536)^
20108^83555^Bayern^Mühldorf a.Inn^Gars^^^^Gars am Inn^Hauptstr. 5^ 3 741^12,275117^48,155168^9141^83536^Gars am Inn(83536)^
20109^83559^Bayern^Mühldorf a.Inn^Gars^^^^Gars am Inn^Hauptstr. 5^ 3 741^12,275117^48,155168^9141^83536^Gars am Inn(83536)^
20110^83565^Bayern^Ebersberg^Frauenneuharting^^^^Aßling^Kirchplatz 6^ 1 501^12,048251^48,039782^9112^85617^Aßling(85617)^www.frauenneuharting.de
20111^85259^Bayern^Dachau^Sulzemoos^^^^Odelzhausen^Schulstr. 14^ 2 631^11,263262^48,289864^9107^85235^Odelzhausen(85235)^www.sulzemoos.de
20112^85376^Bayern^Freising^Neufahrn^^^^Neufahrn^Bahnhofstr. 32^ 18 929^11,662789^48,316081^9115^85375^Neufahrn(85375)^
20113^85598^Bayern^Ebersberg^Vaterstetten^^^^Vaterstetten^Wendelsteinstr. 7^ 21 757^11,772786^48,111518^9112^85591^Vaterstetten(85591)^www.vaterstetten.de
20114^85599^Bayern^Ebersberg^Vaterstetten^^^^Vaterstetten^Wendelsteinstr. 7^ 21 757^11,772786^48,111518^9112^85591^Vaterstetten(85591)^www.vaterstetten.de
20115^86674^Bayern^Aichach-Friedberg^Baar^^^^Baar^Postweg 3^^^^^86674^Baar(86674)^
20116^92700^Bayern^Neustadt a.d.Waldnaab^Weiherhammer^^^^Weiherhammer^Hauptstr. 3^ 3 866^12,059189^49,632366^9255^92729^Weiherhammer(92729)^www.weiherhammer.de
20117^96529^Thüringen^Sonneberg^Frankenblick^^^^Effelder-Rauenstein^Schloßgasse 20^ 6 208^11,089124^50,393134^4170^96528^Effelder-Rauenstein(96528)^www.frankenblick.eu
20118^99098^Thüringen^Erfurt ^Erfurt^^^^Erfurt^Fischmarkt 1^ 203 485^11,027235^50,977121^4151^99084^Erfurt(99084)^www.erfurt.de
20119^06502^Sachsen-Anhalt^Harz^Blankenburg/Harz^^^^Blankenburg (Harz)^Harzstraße 3^ 20 852^10,952601^51,791278^3117^38889^Blankenburg (Harz)(38889)^www.blankenburg.de
20120^16515^Brandenburg^Oberhavel^Mühlenbecker Land^^^^Mühlenbecker Land^Liebenwalder Str. 1^ 14 293^13,359423^52,667906^3053^16567^Mühlenbecker Land(16567)^www.muehlenbecker-land.de
20121^16818^Brandenburg^Ostprignitz-Ruppin^Rheinsberg^^^^Rheinsberg^Seestr. 21^ 8 179^12,892206^53,099023^3052^16831^Rheinsberg(16831)^www.rheinsberg.de
20122^23611^Schleswig-Holstein^Ostholstein^Ratekau^^^^Ratekau^Bäderstr. 19^ 15 147^10,735074^53,947822^2125^23626^Ratekau(23626)^www.ratekau.de
20123^23669^Schleswig-Holstein^Ostholstein^Ratekau^^^^Ratekau^Bäderstr. 19^ 15 147^10,735074^53,947822^2125^23626^Ratekau(23626)^www.ratekau.de
20124^38822^Sachsen-Anhalt^Harz^Halberstadt^^^^Halberstadt^Holzmarkt 1^ 40 526^11,047309^51,896112^3117^38820^Halberstadt(38820)^www.halberstadt.de
20125^39175^Sachsen-Anhalt^Jerichower Land^Gommern^^^^Gommern^Platz des Friedens 10^ 10 761^11,825518^52,07322^3103^39245^Gommern(39245)^www.gommern.de
20126^39291^Sachsen-Anhalt^Jerichower Land^Gommern^^^^Gommern^Platz des Friedens 10^ 10 761^11,825518^52,07322^3103^39245^Gommern(39245)^www.gommern.de
20127^39343^Sachsen-Anhalt^Börde^Oebisfelde-Weferlingen^^^^Oebisfelde-Weferlingen^Lange Straße 12^ 13 714^11,095598^52,400918^3105^39646^Oebisfelde-Weferlingen(39646)^www.stadt-oebisfelde-weferlingen.de
20128^39359^Sachsen-Anhalt^Börde^Oebisfelde-Weferlingen^^^^Oebisfelde-Weferlingen^Lange Straße 12^ 13 714^11,095598^52,400918^3105^39646^Oebisfelde-Weferlingen(39646)^www.stadt-oebisfelde-weferlingen.de
20129^39579^Sachsen-Anhalt^Stendal^Bismark/Altmark^^^^Bismark/Altmark^Breite Straße 11^ 8 753^11,555013^52,66143^3108^39629^Bismark/Altmark(39629)^
20130^39606^Sachsen-Anhalt^Stendal^Bismark/Altmark^^^^Bismark/Altmark^Breite Straße 11^ 8 753^11,555013^52,66143^3108^39629^Bismark/Altmark(39629)^
20131^39624^Sachsen-Anhalt^Stendal^Bismark/Altmark^^^^Bismark/Altmark^Breite Straße 11^ 8 753^11,555013^52,66143^3108^39629^Bismark/Altmark(39629)^
20132^82205^Bayern^Starnberg^Krailling^^^^Krailling^Rudolf-von-Hirsch-Str. 1^ 7 505^11,409621^48,097163^9161^82152^Krailling(82152)^www.krailling.de
20133^82467^Bayern^Garmisch-Partenkirchen^Krün^^^^Krün^Schöttlkarspitzstr. 15^ 1 905^11,278358^47,505064^9119^82494^Krün(82494)^www.kruen.de
20134^85622^Bayern^Ebersberg^Vaterstetten^^^^Vaterstetten^Wendelsteinstr. 7^ 21 757^11,772786^48,111518^9112^85591^Vaterstetten(85591)^www.vaterstetten.de
20135^85646^Bayern^Ebersberg^Vaterstetten^^^^Vaterstetten^Wendelsteinstr. 7^ 21 757^11,772786^48,111518^9112^85591^Vaterstetten(85591)^www.vaterstetten.de
